timestamp,cripto,moeda_base,preco
2025-05-30 20:21:30.465809,bitcoin,brl,596060.0
2025-05-30 20:21:30.465809,bitcoin,usd,104115.0
2025-05-30 20:21:30.465809,bitcoin,eur,91750.0
2025-05-30 20:21:30.465809,ethereum,brl,14485.66
2025-05-30 20:21:30.465809,ethereum,usd,2530.25
2025-05-30 20:21:30.465809,ethereum,eur,2229.75
2025-05-30 20:21:30.465809,solana,brl,898.28
2025-05-30 20:21:30.465809,solana,usd,156.9
2025-05-30 20:21:30.465809,solana,eur,138.27
2025-05-30 20:22:30.592001,bitcoin,brl,596060.0
2025-05-30 20:22:30.592001,bitcoin,usd,104115.0
2025-05-30 20:22:30.592001,bitcoin,eur,91750.0
2025-05-30 20:22:30.592001,ethereum,brl,14485.66
2025-05-30 20:22:30.592001,ethereum,usd,2530.25
2025-05-30 20:22:30.592001,ethereum,eur,2229.75
2025-05-30 20:22:30.592001,solana,brl,898.28
2025-05-30 20:22:30.592001,solana,usd,156.9
2025-05-30 20:22:30.592001,solana,eur,138.27
2025-05-30 20:23:30.894092,bitcoin,brl,596238.0
2025-05-30 20:23:30.894092,bitcoin,usd,104146.0
2025-05-30 20:23:30.894092,bitcoin,eur,91778.0
2025-05-30 20:23:30.894092,ethereum,brl,14482.56
2025-05-30 20:23:30.894092,ethereum,usd,2529.71
2025-05-30 20:23:30.894092,ethereum,eur,2229.28
2025-05-30 20:23:30.894092,solana,brl,897.91
2025-05-30 20:23:30.894092,solana,usd,156.84
2025-05-30 20:23:30.894092,solana,eur,138.21
2025-05-30 20:24:31.035510,bitcoin,brl,596238.0
2025-05-30 20:24:31.035510,bitcoin,usd,104146.0
2025-05-30 20:24:31.035510,bitcoin,eur,91778.0
2025-05-30 20:24:31.035510,ethereum,brl,14482.56
2025-05-30 20:24:31.035510,ethereum,usd,2529.71
2025-05-30 20:24:31.035510,ethereum,eur,2229.28
2025-05-30 20:24:31.035510,solana,brl,897.91
2025-05-30 20:24:31.035510,solana,usd,156.84
2025-05-30 20:24:31.035510,solana,eur,138.21
2025-05-30 20:25:31.301082,bitcoin,brl,596101.0
2025-05-30 20:25:31.301082,bitcoin,usd,104122.0
2025-05-30 20:25:31.301082,bitcoin,eur,91757.0
2025-05-30 20:25:31.301082,ethereum,brl,14477.16
2025-05-30 20:25:31.301082,ethereum,usd,2528.76
2025-05-30 20:25:31.301082,ethereum,eur,2228.45
2025-05-30 20:25:31.301082,solana,brl,897.53
2025-05-30 20:25:31.301082,solana,usd,156.77
2025-05-30 20:25:31.301082,solana,eur,138.16
2025-05-30 20:26:33.711871,bitcoin,brl,596029.0
2025-05-30 20:26:33.711871,bitcoin,usd,104110.0
2025-05-30 20:26:33.711871,bitcoin,eur,91746.0
2025-05-30 20:26:33.711871,ethereum,brl,14471.67
2025-05-30 20:26:33.711871,ethereum,usd,2527.8
2025-05-30 20:26:33.711871,ethereum,eur,2227.6
2025-05-30 20:26:33.711871,solana,brl,897.26
2025-05-30 20:26:33.711871,solana,usd,156.73
2025-05-30 20:26:33.711871,solana,eur,138.11
2025-05-30 20:27:33.829405,bitcoin,brl,596029.0
2025-05-30 20:27:33.829405,bitcoin,usd,104110.0
2025-05-30 20:27:33.829405,bitcoin,eur,91746.0
2025-05-30 20:27:33.829405,ethereum,brl,14471.67
2025-05-30 20:27:33.829405,ethereum,usd,2527.8
2025-05-30 20:27:33.829405,ethereum,eur,2227.6
2025-05-30 20:27:33.829405,solana,brl,897.26
2025-05-30 20:27:33.829405,solana,usd,156.73
2025-05-30 20:27:33.829405,solana,eur,138.11
2025-05-30 20:28:34.135479,bitcoin,brl,595866.0
2025-05-30 20:28:34.135479,bitcoin,usd,104081.0
2025-05-30 20:28:34.135479,bitcoin,eur,91721.0
2025-05-30 20:28:34.135479,ethereum,brl,14469.38
